id,date,nday,h,m,foF2,h'Es,comp_1,comp_2
ak0028jvqcwp,2002-06-23,12.0,15,30,5.35,91.0,-0.10167962032377516,0.09868922150451279
ak0028jvqcwp,2002-06-23,12.0,16,0,5.407,110.0,-0.12638238884817868,-0.19833946865681024
ak0028jvqcwp,2002-06-23,12.0,16,30,5.85,115.0,-0.1541802605564983,0.031384687617608445
ak0028jvqcwp,2002-06-23,12.0,17,0,5.15,90.0,-0.2872620578163638,-0.19329707437055144
ak0028jvqcwp,2002-06-23,12.0,17,30,5.15,103.0,-0.29713385435516443,-0.048849415134957684
ak0028jvqcwp,2002-06-23,12.0,18,0,5.35,90.0,-0.30956777134628777,-0.16695997209020472
ak0028jvqcwp,2002-06-23,12.0,18,30,5.75,85.0,-0.3821889275321499,0.04929941125400794
ak0028jvqcwp,2002-06-23,12.0,19,0,5.25,92.0,-0.5109970375404463,-0.1402692616740539
ak0028jvqcwp,2002-06-23,12.0,19,30,5.35,103.0,-0.43583177345667357,0.0033149725445511774
ak0028jvqcwp,2002-06-23,12.0,20,0,5.55,112.0,-0.4694016956311801,-0.10575610783456431
ak0028jvqcwp,2002-06-23,12.0,20,30,5.725,85.0,-0.5155145411159908,0.0032828772519972586
ak0028jvqcwp,2002-06-23,12.0,21,0,5.625,95.0,-0.5680766278776702,-0.04338010350216119
ak0028jvqcwp,2002-06-23,12.0,21,30,6.225,110.0,-0.5463776885534217,0.09941013198928467
ak0028jvqcwp,2002-06-23,12.0,22,0,5.401,85.0,-0.578019851143599,-0.13034439634452602
ak0028jvqcwp,2002-06-23,12.0,22,30,5.7010000000000005,90.0,-0.6194177038953047,0.08225830794484505
ak0028jvqcwp,2002-06-23,12.0,23,0,6.05,90.0,-0.5766946670694838,-0.09096012710537578
ak0028jvqcwp,2002-06-23,12.0,23,30,6.25,100.0,-0.5598042459815752,0.11186761520816643
ak0028jvqcwp,2002-06-24,11.0,0,0,6.104,92.0,-0.2572879117523929,-0.6581323771086347
ak0028jvqcwp,2002-06-24,11.0,0,30,6.05,95.0,-0.22783176649080492,-0.4525871627084872
ak0028jvqcwp,2002-06-24,11.0,1,0,5.95,95.0,-0.1440517546139971,-0.6651615026893621
ak0028jvqcwp,2002-06-24,11.0,1,30,6.25,90.0,-0.186516386006559,-0.4790095501045481
ak0028jvqcwp,2002-06-24,11.0,2,0,6.204,90.0,-0.12770919190601995,-0.6680719653193876
ak0028jvqcwp,2002-06-24,11.0,2,30,6.15,90.0,-0.18387221089696065,-0.4562384787471832
ak0028jvqcwp,2002-06-24,11.0,3,0,6.412999999999999,101.0,-0.13869925725194313,-0.7223522978711504
ak0028jvqcwp,2002-06-24,11.0,3,30,6.25,95.0,-0.11840465142877037,-0.4699997099688814
ak0028jvqcwp,2002-06-24,11.0,4,0,5.95,115.0,0.03576714827981234,-0.6875457485718371
ak0028jvqcwp,2002-06-24,11.0,4,30,5.95,95.0,0.05494871016036527,-0.4401390985276097
ak0028jvqcwp,2002-06-24,11.0,5,0,6.65,90.0,0.1485433172033434,-0.5734147702169409
ak0028jvqcwp,2002-06-24,11.0,5,30,6.45,115.0,0.18204054795527647,-0.3892866941388655
ak0028jvqcwp,2002-06-24,11.0,6,0,6.25,120.0,0.28900076709708417,-0.5487099743818007
ak0028jvqcwp,2002-06-24,11.0,6,30,5.95,125.0,0.39098859821280035,-0.314457020394446
ak0028jvqcwp,2002-06-24,11.0,7,0,5.45,155.0,0.547077220864176,-0.4700599955082907
ak0028jvqcwp,2002-06-24,11.0,7,30,5.25,77.0,0.41201863787222004,-0.16489813934424052
ak0028jvqcwp,2002-06-24,11.0,8,0,4.3,90.0,0.471681377465899,-0.34941401104836917
ak0028jvqcwp,2002-06-24,11.0,8,30,4.75,117.0,0.6409113593601432,-0.11892713389820284
ak0028jvqcwp,2002-06-24,11.0,9,0,4.85,132.0,0.7159361764459375,-0.2654838226845013
ak0028jvqcwp,2002-06-24,11.0,9,30,4.41,122.0,0.70934774190383,-0.01307473828770505
ak0028jvqcwp,2002-06-24,11.0,10,0,4.85,135.0,0.7291973779921777,-0.2007238287069136
ak0028jvqcwp,2002-06-24,11.0,10,30,4.45,99.0,0.6678554470319804,0.10171857570908022
ak0028jvqcwp,2002-06-24,11.0,11,0,4.85,106.58333333333331,0.6355069297144844,-0.0640245312490787
ak0028jvqcwp,2002-06-24,11.0,11,30,4.85,135.0,0.6778372349026602,0.15730480815668121
ak0028jvqcwp,2002-06-24,11.0,12,0,4.95,100.8181818181818,0.5263521628443952,0.016200480294535403
ak0028jvqcwp,2002-06-24,11.0,12,30,4.85,90.0,0.34124369074817645,0.26085393514867894
ak0028jvqcwp,2002-06-24,11.0,13,0,7.0,90.0,0.029415271949802067,-0.029177997740644685
ak0028jvqcwp,2002-06-24,11.0,13,30,4.9,90.0,0.20439950813544425,0.2558045826680867
ak0028jvqcwp,2002-06-24,11.0,14,0,5.35,95.0,0.15730692989747747,0.009511458469982892
ak0028jvqcwp,2002-06-24,11.0,14,30,5.402,95.0,0.06244750430388868,0.22175884574970076
ak0028jvqcwp,2002-06-24,11.0,15,0,5.55,95.0,0.05567430431251392,-0.03363069227855741
ak0028jvqcwp,2002-06-24,11.0,15,30,5.65,91.0,-0.10535828333329808,0.1527824693406352
ak0028jvqcwp,2002-06-24,11.0,16,0,5.85,90.0,-0.1847066868710782,-0.08399422455020046
ak0028jvqcwp,2002-06-24,11.0,16,30,5.625,95.0,-0.22246434617381095,0.09163132148432136
ak0028jvqcwp,2002-06-24,11.0,17,0,5.85,96.0,-0.2848161604253799,-0.11072328294211625
ak0028jvqcwp,2002-06-24,11.0,17,30,5.75,97.0,-0.2814855941184113,0.06446736706677118
ak0028jvqcwp,2002-06-24,11.0,18,0,5.7010000000000005,100.0,-0.36838467594861274,-0.10670795042981168
ak0028jvqcwp,2002-06-24,11.0,18,30,6.25,97.0,-0.3634688042227111,0.10360020372026996
ak0028jvqcwp,2002-06-24,11.0,19,0,5.75,103.0,-0.4556065700701815,-0.08330885050405525
ak0028jvqcwp,2002-06-24,11.0,19,30,6.15,93.0,-0.5106225137318221,0.12952391229749596
ak0028jvqcwp,2002-06-24,11.0,20,0,6.607,98.0,-0.510363115648388,-0.020208689273601203
ak0028jvqcwp,2002-06-24,11.0,20,30,5.604,90.0,-0.5857346801018051,0.13781994886655852
ak0028jvqcwp,2002-06-24,11.0,21,0,5.925,87.0,-0.6115565594574409,-0.033824908155656995
ak0028jvqcwp,2002-06-24,11.0,21,30,5.85,96.0,-0.611191634731458,0.13786575671086818
ak0028jvqcwp,2002-06-24,11.0,22,0,6.001,87.0,-0.5366125861094744,-0.029704902746563365
ak0028jvqcwp,2002-06-24,11.0,22,30,5.95,88.0,-0.6430696612619514,0.13385586390567733
ak0028jvqcwp,2002-06-24,11.0,23,0,5.85,83.0,-0.6264359875849367,-0.05779738222227245
ak0028jvqcwp,2002-06-24,11.0,23,30,5.825,90.0,-0.6220995609505671,0.1684985627021445
ak0028jvqcwp,2002-06-25,10.0,0,0,5.813,90.0,-0.2778028728075031,-0.6037473491659474
ak0028jvqcwp,2002-06-25,10.0,0,30,5.907,90.0,-0.30362345849622613,-0.39611482714323676
ak0028jvqcwp,2002-06-25,10.0,1,0,6.101,90.0,-0.222541304064597,-0.5942799678312453
ak0028jvqcwp,2002-06-25,10.0,1,30,6.15,87.0,-0.24803564810105633,-0.43122645726134495
ak0028jvqcwp,2002-06-25,10.0,2,0,6.25,87.0,-0.2233490287622649,-0.6253122050625173
ak0028jvqcwp,2002-06-25,10.0,2,30,5.95,106.0,-0.14613877927471236,-0.4566968246002885
ak0028jvqcwp,2002-06-25,10.0,3,0,5.95,95.0,-0.07967145179610163,-0.6350910103965464
ak0028jvqcwp,2002-06-25,10.0,3,30,6.55,90.0,-0.15037555767937777,-0.43424803319882116
ak0028jvqcwp,2002-06-25,10.0,4,0,6.15,103.0,-0.0712629241019464,-0.6324131748730077
ak0028jvqcwp,2002-06-25,10.0,4,30,6.575,103.0,-0.03946140965453042,-0.3920328481611015
ak0028jvqcwp,2002-06-25,10.0,5,0,6.65,126.0,0.13305071816884192,-0.5859594518657831
ak0028jvqcwp,2002-06-25,10.0,5,30,6.45,95.0,0.1995556685434837,-0.34545657929123474
ak0028jvqcwp,2002-06-25,10.0,6,0,6.35,105.0,0.25943554614162284,-0.5121699987960742
ak0028jvqcwp,2002-06-25,10.0,6,30,6.25,115.0,0.3646672497242408,-0.26229312025631096
ak0028jvqcwp,2002-06-25,10.0,7,0,5.95,140.0,0.48465165552348216,-0.43809770338835413
ak0028jvqcwp,2002-06-25,10.0,7,30,5.85,90.0,0.4127539900201629,-0.16598916489534415
ak0028jvqcwp,2002-06-25,10.0,8,0,5.75,155.0,0.6531064483809063,-0.33833208941471965
ak0028jvqcwp,2002-06-25,10.0,8,30,5.15,140.0,0.6882584523982263,-0.10781559502257095
ak0028jvqcwp,2002-06-25,10.0,9,0,5.35,105.0,0.6591562702484438,-0.21060847074271982
ak0028jvqcwp,2002-06-25,10.0,9,30,4.95,115.0,0.7347492299009234,0.023008838795662855
ak0028jvqcwp,2002-06-25,10.0,10,0,5.35,117.0,0.7399177289834784,-0.10656236614902154
ak0028jvqcwp,2002-06-25,10.0,10,30,5.25,125.0,0.7340337977257295,0.13272819157022478
ak0028jvqcwp,2002-06-25,10.0,11,0,5.15,140.0,0.6931295687906336,-0.05937767719987312
